Date	Site	String/Zone	Max	Min	Range	#ofSpat	Avg Size	#Animals
7/1/2022	836 SDR	2T	6.1	1.13	4.97	30	2.939	3
7/1/2022	836 SDR	2M	5.8	1.49	4.31	36	3.112777778	
7/1/2022	836 SDR	2B	11.69	1.98	9.71	53	4.330754717	
7/1/2022	836 SDR	3T	5.23	4.38	0.85	3	4.676666667	1
7/1/2022	836 SDR	3M	6.49	2.75	3.74	14	4.433571429	
7/1/2022	836 SDR	3B	11	2.46	8.54	29	5.325862069	
7/1/2022	461 LTH	1T	5.42	2.66	2.76	3	4.37	1
7/1/2022	461 LTH	1M	9.12	3.83	5.29	6	6.273333333	
7/1/2022	461 LTH	1B	12.72	2.44	10.28	21	6.73952381	
7/1/2022	461 LTH	2T	4.89	2.26	2.63	7	3.525714286	0
7/1/2022	461 LTH	2M	10.1	2.87	7.23	7	5.924285714	
7/1/2022	461 LTH	2B	8.94	1.85	7.09	16	4.6275	
7/1/2022	461 LTH	3T			0	1	2.48	0
7/1/2022	461 LTH	3M	5.16	2.96	2.2	3	3.866666667	
7/1/2022	461 LTH	3B	11.25	2.4	8.85	13	4.571538462	
7/1/2022	940LGN	1T				0		3
7/1/2022	940LGN	1M	5.95	4.22	1.73	4	5.315	
7/1/2022	940LGN	1B	7.14	5.25	1.89	2	6.195	
7/1/2022	940LGN	2T	6.9	1.73	5.17	12	4.249166667	3
7/1/2022	940LGN	2M	7.23	2.59	4.64	7	4.637142857	
7/1/2022	940LGN	2B			0	1	6.97	
7/1/2022	940LGN	3T			0	0		2
7/1/2022	940LGN	3M			0	1	5.54	
7/1/2022	940LGN	3B	6.68	2.84	3.84	8	5.31	
7/1/2022	790 BCH	1T				0		0
7/1/2022	790 BCH	1M				0		
7/1/2022	790 BCH	1B	6.49	3.58	2.91	3	5.326666667	
7/1/2022	790 BCH	2T	5.17	3.07	2.1	2	4.12	0
7/1/2022	790 BCH	2M			0	1	5.14	
7/1/2022	790 BCH	2B			0	0		
7/1/2022	790 BCH	3T			0	0		1
7/1/2022	790 BCH	3M			0	0		
7/1/2022	790 BCH	3B	3.87	3.33	0.54	2	3.6	
7/1/2022	1063SYM	1T	10.3	1.28	9.02	82	3.493414634	2
7/1/2022	1063SYM	1M	8.98	1.5	7.48	82	4.749512195	
7/1/2022	1063SYM	1B	12.47	2.1	10.37	52	5.259038462	
7/1/2022	1063SYM	2T	8.14	2.01	6.13	25	4.1844	0
7/1/2022	1063SYM	2M	15.3	1.61	13.69	48	5.874375	
7/1/2022	1063SYM	2B	11.66	2.42	9.24	35	6.075714286	
7/1/2022	1063SYM	3T	7.79	1.62	6.17	51	4.087647059	0
7/1/2022	1063SYM	3M	12.93	2.04	10.89	49	5.195714286	
7/1/2022	1063SYM	3B	11.23	2.51	8.72	17	5.737058824	
7/14/2022	925LGN	1T	14	1.83	12.17	57	5.635087719	1
7/14/2022	925LGN	1M	12.8	1.18	11.62	134	4.310671642	
7/14/2022	925LGN	1B	8.85	0.81	8.04	131	3.735725191	
7/14/2022	925LGN	2T	6.28	0.66	5.62	24	3.090416667	
7/14/2022	925LGN	2M	12.15	1	11.15	86	3.286395349	
7/14/2022	925LGN	2B	13.23	1.18	12.05	82	3.757804878	
7/14/2022	925LGN	3T	8.05	2.52	5.53	67	4.977014925	
7/14/2022	925LGN	3M	14.74	2.07	12.67	65	6.008307692	
