"","Date","Site","String.Zone","Max","Min","Range","X.ofSpat","Avg.Size","X.Animals","mean_three_rows"
"108","6/30/2022","425 LTH","3B",5.91,2.13,3.78,9,4.283333333,NA,NA
"109","6/30/2022","918 LMT","1T",4.89,1.2,3.69,17,3.063529412,5,NA
"110","6/30/2022","918 LMT","1M",7.55,1.39,6.16,38,3.954736842,NA,NA
"111","6/30/2022","918 LMT","1B",13.06,1.85,11.21,39,5.088461538,NA,4.03557593066667
"112","6/30/2022","918 LMT","2T",6.89,1.04,5.85,20,3.282,4,NA
"113","6/30/2022","918 LMT","2M",6.88,1.7,5.18,24,3.88625,NA,NA
"114","6/30/2022","918 LMT","2B",10.25,1.44,8.81,38,3.856315789,NA,3.674855263
"115","6/30/2022","918 LMT","3T",5.09,1.35,3.74,17,2.906470588,NA,NA
"116","6/30/2022","918 LMT","3M",6.12,1.29,4.83,31,3.396451613,NA,NA
"117","6/30/2022","918 LMT","3B",7.63,1.13,6.5,33,3.099090909,NA,3.13400437
"118","6/30/2022","990 BCH","1T",NA,NA,NA,0,NA,1,NA
"119","6/30/2022","990 BCH","1M",NA,NA,NA,0,NA,NA,NA
"120","6/30/2022","990 BCH","1B",NA,NA,NA,1,4.98,NA,NA
"121","6/30/2022","990 BCH","2T",NA,NA,NA,1,1.08,2,NA
"122","6/30/2022","990 BCH","2M",NA,NA,NA,0,NA,NA,NA
"123","6/30/2022","990 BCH","2B",NA,NA,NA,1,3.11,NA,NA
"124","6/30/2022","990 BCH","3T",NA,NA,NA,0,NA,1,NA
"125","6/30/2022","990 BCH","3M",NA,NA,NA,1,4.57,NA,NA
"126","6/30/2022","990 BCH","3B",NA,NA,NA,0,NA,NA,NA
"127","6/30/2022","925 LGN","1T",NA,NA,NA,1,1.82,0,NA
"128","6/30/2022","925 LGN","1M",NA,NA,NA,1,2.46,NA,NA
"129","6/30/2022","925 LGN","1B",4.61,3.3,1.31,3,3.856666667,NA,2.71222222233333
"130","6/30/2022","925 LGN","2T",NA,NA,0,0,NA,2,NA
"131","6/30/2022","925 LGN","2M",4.5,2.43,2.07,3,3.523333333,NA,NA
"132","6/30/2022","925 LGN","2B",NA,NA,0,0,NA,NA,NA
"133","6/30/2022","925 LGN","3T",2.95,1.61,1.34,3,2.126666667,2,NA
"134","6/30/2022","925 LGN","3M",3.72,1.42,2.3,6,2.598333333,NA,NA
"135","6/30/2022","925 LGN","3B",5.38,1.6,3.78,13,3.295384615,NA,2.67346153833333
"136","7/1/2022","836 SDR","1T",5.7,2.16,3.54,15,3.926,3,NA
"137","7/1/2022","836 SDR","1M",8.04,3.1,4.94,24,4.651666667,NA,NA
"138","7/1/2022","836 SDR","1B",9.29,3.49,5.8,27,5.326296296,NA,4.634654321
"139","7/1/2022","836 SDR","2T",6.1,1.13,4.97,30,2.939,3,NA
"140","7/1/2022","836 SDR","2M",5.8,1.49,4.31,36,3.112777778,NA,NA
"141","7/1/2022","836 SDR","2B",11.69,1.98,9.71,53,4.330754717,NA,3.460844165
